"REF_DATE","GEO","DGUID","Value","Type of cannabis","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","British Columbia","2021A000259","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436787","11.1.1","585317","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436788","11.1.2","391671","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436789","11.1.3","97445","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436790","11.1.4","24640","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436791","11.1.5","32508","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436792","11.1.6","8362","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436793","11.1.7","30691","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436794","11.3.1","137","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436795","11.3.2","92","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436796","11.3.3","23","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436797","11.3.4","6","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436798","11.3.5","8","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436799","11.3.6","2","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436800","11.3.7","7","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436801","12.1.1","10016","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436802","12.1.2","7139","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436803","12.1.3","1727","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436804","12.1.4","342","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436805","12.1.5","575","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436806","12.1.6","116","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436807","12.1.7","117","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436808","12.3.1","291","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436809","12.3.2","207","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436810","12.3.3","50","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436811","12.3.4","10","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436812","12.3.5","17","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436813","12.3.6","3","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436814","12.3.7","3","","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436815","13.1.1","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436816","13.1.2","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436817","13.1.3","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436818","13.1.4","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436819","13.1.5","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436820","13.1.6","","x","","","0"
