"License Number","Municipality or First Nation","Store Name",Address,"Store Application Status",Website
CRSA1203258,TOTTENHAM,"T Cannabis - Tottenham","54 QUEEN ST S","Authorized to Open",https://tcann.ca/
CRSA1225970,TOTTENHAM,"Hempire House","18 MILL ST W","Authorized to Open",https://www.hempirehouse.ca
CRSA1374770,TORONTO,"Pop's Cannabis Co.","680 DUNDAS ST E","Authorized to Open",https://popscannabis.ca/shop
CRSA1374878,HALIBURTON,"The Underground","120 MAPLE AVE UNIT 2","Authorized to Open",https://www.theunderground.store/
CRSA1222495,HAILEYBURY,"King of Queens Cannabis Company","462 FERGUSON AVE","Authorized to Open",https://www.kingofqueenscannabis.com
CRSA1231601,MARKDALE,"Canna Cabana","155 TORONTO ST N","Authorized to Open",https://cannacabana.com/
CRSA1223325,"NORTH YORK","Cannabis Masters","195 MILLWICK DR","Authorized to Open",https://www.cannabismasters.store
CRSA1220616,LONDON,"Canna Cabana","595 FANSHAWE PARK RD W UNIT C01102A","Authorized to Open",https://cannacabana.com/
CRSA1377600,DUNDAS,"Blair's Cannabis","194 KING ST W","Authorized to Open",https://shop.blairscannabis.com
CRSA1221512,SCARBOROUGH,"Rockwood Cannabis","3148 KINGSTON RD UNIT 3","Authorized to Open",https://www.rockwoodcannabis.com
CRSA1375372,MISSISSAUGA,"Pop's Cannabis Co.","2136 BURNHAMTHORPE RD W UNIT E1","Authorized to Open",https://popscannabis.ca/shop
CRSA1384246,LASALLE,"Canna Cabana","2055 SANDWICH WEST PKY UNIT 1B","Authorized to Open",
CRSA1208760,BEAMSVILLE,SUPERBUD,"5001 GREENLANE RD UNIT 4","Authorized to Open",
CRSA1375515,TORONTO,"Fika Cannabis","10 DUNDAS ST E UNIT 100","Authorized to Open",https://fikacannabis.com/shop
CRSA1220850,"NORTH BAY","True North Cannabis Co.","496 MAIN ST E","Authorized to Open",https://www.tncc.ca/
CRSA1375931,THAMESFORD,HighQ,"105 DUNDAS ST UNIT 1","Authorized to Open",
CRSA1377940,OTTAWA,"Canna Cabana","1729 WALKLEY RD UNIT A103","Authorized to Open",https://cannacabana.com/?sID=8030
CRSA1376001,MISSISSAUGA,"Pop's Cannabis Co.","7070 SAINT BARBARA BLVD UNIT 28","Authorized to Open",https://popscannabis.ca/
CRSA1390189,"EAST YORK","Kindling Cannabis North York East","850 EGLINTON AVE E","Authorized to Open",https://shopkindling.ca/locations/toronto-leaside-eastyork
CRSA1211778,SCARBOROUGH,"The Hunny Pot Cannabis Co.","3850 SHEPPARD AVE E UNIT 395","Authorized to Open",https://thehunnypot.com
CRSA1207261,HAMILTON,"Mystic's Cannabis","2141 KING ST E","Authorized to Open",https://www.mysticscannabis.ca
CRSA1376947,MISSISSAUGA,Budders,"1212 DUNDAS ST W UNIT D","Authorized to Open",https://www.budderscannabis.com
CRSA1383047,BELLEVILLE,"Canna Cabana","150 SIDNEY ST UNIT B112C","Authorized to Open",https://cannacabana.com/
CRSA1225359,BARRIE,"Pop's Cannabis Co. Big Bay Point","829 BIG BAY POINT RD UNIT D6","Authorized to Open",https://popscannabis.ca/shop
CRSA1381587,WINDSOR,"Wiseradix Supply Co.","545 OUELLETTE AVE","Authorized to Open",
CRSA1376384,CLINTON,"Clinton Cannabis","16 KING STREET","Authorized to Open",https://www.clintoncannabis.net
CRSA1415786,MISSISSAUGA,"ONE TREE CANNABIS","3437 DERRY RD E SUITE 2","Authorized to Open",https://onetreecannabis.com/
CRSA1236685,TORONTO,"Value Buds","1287 BLOOR ST W","Authorized to Open",https://www.valuebuds.com
CRSA1236669,WATERLOO,"Value Buds","628 KING ST N UNIT A4","Authorized to Open",https://www.valuebuds.com
CRSA1236684,TORONTO,"Value Buds","728 QUEEN ST E","Authorized to Open",https://www.valuebuds.com
CRSA1236683,BURLINGTON,"Value Buds","2485 APPLEBY LINE UNIT G1","Authorized to Open",https://www.valuebuds.com
CRSA1236668,BRAMPTON,"Value Buds","17 WORTHINGTON AVE UNIT 7","Authorized to Open",https://www.valuebuds.com
CRSA1236682,HAMILTON,"Value Buds","631 KING ST W","Authorized to Open",https://www.valuebuds.com
CRSA1236681,TORONTO,"Value Buds","500 BLOOR ST W UNIT 1","Authorized to Open",https://www.valuebuds.com
CRSA1236680,BURLINGTON,"Value Buds","1235 FAIRVIEW ST UNIT A","Authorized to Open",https://www.valuebuds.com
CRSA1236678,LONDON,"Value Buds","1631 OXFORD ST E SUITE 4","Authorized to Open",https://www.valuebuds.com
CRSA1220851,"SAULT STE. MARIE","True North Cannabis Co.","898 QUEEN ST E UNIT 2","Authorized to Open",https://www.tncc.ca/
CRSA1236677,"WASAGA BEACH","Value Buds","1295 MOSLEY ST UNIT 5","Authorized to Open",https://www.valuebuds.com
CRSA1236676,MEAFORD,"Value Buds","100 SYKES ST N","Authorized to Open",https://www.valuebuds.com
CRSA1236666,ANGUS,"Value Buds","4 PINE RIVER RD UNIT 3","Authorized to Open",https://www.valuebuds.com
CRSA1236675,"NIAGARA FALLS","Value Buds","3714 PORTAGE RD UNIT 210","Authorized to Open",https://www.valuebuds.com
CRSA1236674,GUELPH,"Value Buds","73 GORDON ST","Authorized to Open",https://www.valuebuds.com
CRSA1236673,BRAMPTON,"Value Buds","10886 HURONTARIO ST SUITE A013","Authorized to Open",https://www.valuebuds.com
CRSA1236672,BRAMPTON,"Value Buds","100 PEEL CENTRE DR UNIT 5","Authorized to Open",https://www.valuebuds.com
CRSA1236687,TORONTO,"Value Buds","2575 DANFORTH AVE UNIT 15","Authorized to Open",https://www.valuebuds.com
CRSA1236671,BRAMPTON,"VALUE BUDS","90 RESOLUTION DR UNIT 103","Authorized to Open",https://www.valuebuds.com
CRSA1236670,"NORTH YORK","Value Buds","3300 DUFFERIN ST. UNIT E","Authorized to Open",https://www.valuebuds.com
CRSA1236667,HAMILTON,"Value Buds","859 BARTON ST E","Authorized to Open",https://www.valuebuds.com
CRSA1208276,"NORTH BAY","GOLDEN HARVEST","71 17 HWY W","Authorized to Open",
CRSA1215979,CANNINGTON,"THE CHEEBA SHACK","17 CAMERON ST W.","Authorized to Open",
CRSA1376837,"NORTH YORK","The Hunny Pot Cannabis Co.","4936 YONGE ST","Authorized to Open",https://thehunnypot.com
CRSA1231498,STRATFORD,"Canna Cabana","618 HURON ST","Authorized to Open",https://cannacabana.com/
CRSA1231597,HANOVER,"Canna Cabana","880 10TH ST UNIT 105","Authorized to Open",https://cannacabana.com/
CRSA1212732,"PORT ELGIN","Tokyo Smoke - Port Elgin","216 GODERICH ST UNIT 3","Authorized to Open",
CRSA1379783,DUNNVILLE,Superbud,"104 LOCK ST E","Authorized to Open",
CRSA1377005,WINDSOR,"Discounted Cannabis","397 WYANDOTTE ST W","Authorized to Open",https://www.discountedcannabis.ca
CRSA1231893,"LONGBOW LAKE","REDDEN’S JUNCTION CANNABIS","4433 HIGHWAY, 17 EAST","Authorized to Open",https://reddensjunction.com/
CRSA1224238,OTTAWA,"KANA LEAF CANNABIS","418 RICHMOND RD","Authorized to Open",https://www.kanaleaf.ca
CRSA1219532,TORONTO,"Ma Cannabis","234 WELLINGTON ST W","Authorized to Open",https://macannabis.ca
CRSA1229264,GUELPH,"Canna Cabana","3 WOODLAWN RD W","Authorized to Open",https://cannacabana.com/
CRSA1229262,TORONTO,"CANNA CABANA","720 KING ST W UNIT 155","Authorized to Open",https://cannacabana.com/
CRSA1377825,PICTON,"Fridays Cannabis","190 PICTON MAIN ST","Authorized to Open",https://fridayscannabis.com/
CRSA1224388,"NORTH YORK","Fogtown Flower","1529-1531 STEELES AVE E","Authorized to Open",https://fogtown.ca/steeles-east/
CRSA1227269,BATH,"Baths Bud N Boutique","220 MAIN ST UNIT 6","Authorized to Open",https://www.bathbudz.ca
CRSA1389776,KINGSTON,"Canna Cabana","97 BATH RD UNIT E101","Authorized to Open",https://cannacabana.com/
CRSA1209840,HEARST,"T CANNABIS NW","3 15TH ST UNIT 5","Authorized to Open",https://tcann.ca/
CRSA1386120,MISSISSAUGA,"Spiritleaf Meadowvale","3021 ARGENTIA RD UNIT 6","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-meadowvale
CRSA1217162,COURTICE,"Pop's Cannabis Co. Courtice","1635 HWY 2 UNIT 102","Authorized to Open",https://popscannabis.ca/
CRSA1230649,ORILLIA,"Buds 4 Less Cannabis Company","64 MISSISSAGA ST W SUITE 1","Authorized to Open",https://www.buds4less.ca
CRSA1379946,"THUNDER BAY","Cannabis Near Me Thunder Bay","236 RED RIVER RD","Authorized to Open",https://cannabisnm.ca/
CRSA1378890,MISSISSAUGA,"Crown Leaf","128 QUEEN ST S SUITE 13","Authorized to Open",https://thecrownleaf.ca
CRSA1219313,KITCHENER,"Canna Cabana","1375 WEBER ST E UNIT 111","Authorized to Open",https://cannacabana.com/
CRSA1378943,SARNIA,"Discounted Cannabis","1380 LONDON RD UNIT 141","Authorized to Open",https://www.discountedcannabis.ca
CRSA1378955,LASALLE,"Discounted Cannabis","5844 MALDEN RD UNIT 120","Authorized to Open",https://www.discountedcannabis.ca
CRSA1384204,LUCAN,"Canna Cabana","389 MAIN ST","Authorized to Open",https://cannacabana.com/
CRSA1209084,LIVELY,"HIGHLIFE CANNABIS LIVELY EXPRESS","135 REGIONAL RD 24 UNIT 16","Authorized to Open",https://highlife.ca
CRSA1227203,HAMILTON,"Offside Cannabis","1033 KING ST W","Authorized to Open",https://offsidecannabis.com
CRSA1388327,TORONTO,"Canna Cabana","201 DANFORTH AVE","Authorized to Open",https://cannacabana.com/
CRSA1219916,CAMPBELLFORD,Spiritleaf,"15 BRIDGE STREET WEST","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-campbellford
CRSA1208233,LONDON,"Your Highness Cannabis","744 RICHMOND ST","Authorized to Open",https://yourhighnesscannabis.ca/
CRSA1380277,"NIAGARA FALLS","Sparkle Cannabis Company","7000 MCLEOD RD UNIT 9","Authorized to Open",
CRSA1380280,LISTOWEL,"The Cannabis Guys","300 MITCHELL RD S UNIT 8","Authorized to Open",https://www.thecannabisguys.ca
CRSA1217449,HAMILTON,"Blue Sage Cannabis","835 KING ST E","Authorized to Open",https://www.bluesagecannabis.ca
