StoreName,City,Province,FullProvinceName,Address,PostalCode,Latitude,Longitude
THE FARMHOUSE CANNABIS CO.,BURLINGTON,ON,Ontario,666 APPLEBY LINE SUITE C101,L7L 5Y3,43.3719599,-79.7611505
One Plant St. Catharines,ST CATHARINES,ON,Ontario,343 GLENDALE AVE SUITE 520,L2T 0A1,43.1376417,-79.2163553
BLUEBIRD CANNABIS CO.,OTTAWA,ON,Ontario,5530 MANOTICK MAIN ST UNIT 1B,K4M 1B3,45.2256193,-75.6855706
Consumers Cannabis,PICKERING,ON,Ontario,1477 BAYLY ST UNIT 6,L1W 3R5,43.8303518,-79.0777209
Barttowa Tree,HAMILTON,ON,Ontario,1081 BARTON ST E,L8L 3E2,43.2516966,-79.8164118
Discounted Cannabis,KITCHENER,ON,Ontario,809 VICTORIA ST N SUITE 7,N2B 3C3,43.4618078,-80.4684662
Discounted Cannabis,WINDSOR,ON,Ontario,1776 UNIVERSITY AVE W,N9B 1C4,42.3115975,-83.0598933
BUDSSMOKE,BURLINGTON,ON,Ontario,2017 LAKESHORE RD,L7R 1A1,43.3248325,-79.7956429
HIGHLIFE CANNABIS LASALLE,SUDBURY,ON,Ontario,1855 LASALLE BLVD,P3A 2A3,46.5212768,-80.9300553
HIGHLIFE CANNABIS CHELMSFORD,CHELMSFORD,ON,Ontario,3454 ERRINGTON AVE,P0M 1L0,46.5786477,-81.1986136
HIGHLIFE CANNABIS ESPANOLA,ESPANOLA,ON,Ontario,800 CENTRE ST,P5E 1J3,46.248427,-81.7574339
Haight - Ashbury,WALLACEBURG,ON,Ontario,302 JAMES ST,N8A 2N5,42.5947204,-82.3830926
The We Store,SARNIA,ON,Ontario,889 EXMOUTH ST UNIT 11,N7T 5R3,42.9846301,-82.3772065
THE WE STORE,WINDSOR,ON,Ontario,1800 HURON CHURCH RD UNIT B,N9C 2L5,42.2836285,-83.054999
Greentown Cannabis Discount Hut,WINDSOR,ON,Ontario,74 CHATHAM ST W,N9A 5M6,42.3182226,-83.0403269
SESSIONS CANNABIS - SOUTH PORCUPINE,SOUTH PORCUPINE,ON,Ontario,4900 ON-101 UNIT A04,P0N 1H0,48.4904597,-81.1989413
SESSIONS CANNABIS GOULAIS RIVER,GOULAIS RIVER,ON,Ontario,2771 ON-17 UNIT 1,P0S 1J0,46.7216903,-84.3478037
Sessions Cannabis - Brantford,BRANTFORD,ON,Ontario,"175-181 LYNDEN RD, UNIT F2",N3R 8A7,43.1757403,-80.2324077
SESSIONS CANNABIS - AURORA,AURORA,ON,Ontario,15480 BAYVIEW AVE UNIT D0103,L4G 7J1,44.0109618,-79.448677
Old West Cannabis Company,OSHAWA,ON,Ontario,215 KING ST E,L1H 1C5,43.8991643,-78.8556261
PLEASANTREES,BURLINGTON,ON,Ontario,372 BRANT ST,L7R 2E8,43.3249333,-79.7970496
STELLAR Bud,WOODSTOCK,ON,Ontario,951 DEVONSHIRE AVE UNIT 3,N4S 5S1,43.145542,-80.7385191
STELLAR BUD,PARKHILL,ON,Ontario,249 PARKHILL MAIN ST,N0M 2K0,43.1640894,-81.6839912
Green King Cannabis,PORT COLBORNE,ON,Ontario,111 CLARENCE ST UNIT A1,L3K 3G2,42.8863904,-79.2544152
Moonfire Cannabis,OWEN SOUND,ON,Ontario,1050 2ND AVE E SUITE 5,N4K 2H7,44.5690663,-80.9430711
THE HUNNY POT CANNABIS CO.,HAMILTON,ON,Ontario,40 CENTENNIAL PKY N SUITE 5,L8G 2C3,43.22921,-79.76307
The Hunny Pot Cannabis Co,OTTAWA,ON,Ontario,"1642 MERIVALE RD, UNIT A01014A",K2G 4A1,45.3455841,-75.732034
The Hunny Pot Cannabis Co,OTTAWA,ON,Ontario,1405 CARLING AVE UNIT 1395,K1Z 7L6,45.3862239,-75.7399375
Kindling Cannabis,OSHAWA,ON,Ontario,22 SIMCOE ST S,L1H 4G2,43.8969206,-78.8634586
THE HUNNY POT CANNABIS CO.,OTTAWA,ON,Ontario,121 CLARENCE ST,K1N 5P9,45.4296544,-75.6919979
PUR CANNABIS-KING W,KITCHENER,ON,Ontario,147 KING ST W,N2G 1A7,43.4506482,-80.4919352
CANNA CABANA,BRAMPTON,ON,Ontario,148 WEST DR UNIT C108,L6T 5P1,43.7079065,-79.7333603
THE HUNNY POT CANNABIS CO.,OTTAWA,ON,Ontario,206 BANK ST,K2P 1W8,45.4174226,-75.6982921
ONE PLANT LAKEFIELD,LAKEFIELD,ON,Ontario,"112 QUEEN ST, UNIT #2",K0L 2H0,44.4276899,-78.2696422
Moksha Cannabis,NORTHYORK,ON,Ontario,4720 JANE ST UNIT 6,M3N 2L2,43.769655,-79.5215484
MOKSHA CANNABIS,SCARBOROUGH,ON,Ontario,2870 ELLESMERE RD UNIT 2852,M1E 4B8,43.7840453,-79.2047326
Stok'd,SCARBOROUGH,ON,Ontario,2408 KINGSTON RD,M1N 1V2,43.7084945,-79.2503584
Rokeby Cannabis,BOBCAYGEON,ON,Ontario,48 MAIN STREET  BOX 909,K0M 1A0,44.5408306,-78.5465754
VILLAGE BUD,LANSDOWNE,ON,Ontario,1136 PRINCE STREET,K0E 1L0,44.4065332,-76.0182962
CLOUD NINE CANNABIS,BRANTFORD,ON,Ontario,26 BRANTWOOD PARK RD UNIT 4,N3P 1G2,43.1911513,-80.2420158
Bob's Bud Emporium,ST THOMAS,ON,Ontario,483 TALBOT ST,N5P 1C3,42.7791494,-81.1945595
